Player,Tm,G,GS,WS,WS%,salary,WS%,expected_salary,salary_diff
Joseph Young,IND,0,-0.1,$1000000.0,-0.0021598272138228943,$-152669.74
Chris Paul,LAC,74,74,12.7,$21468696.0,0.24708171206225685,$23350761.6
DeAndre Jordan,LAC,77,77,11.5,$19500000.0,0.22373540856031132,$21144390.43
J.J. Redick,LAC,75,75,6.7,$6867000.0,0.13035019455252922,$12318905.73
Blake Griffin,LAC,35,3.8,$18907725.0,0.07392996108949418,$6986842.05
Cole Aldrich,LAC,60,5,3.5,$1100600.0,0.06809338521400779,$6435249.26
Jamal Crawford,LAC,79,5,3.3,$5675000.0,0.0642023346303502,$6067520.73
Wesley Johnson,LAC,80,9,2.6,$1100600.0,0.050583657587548646,$4780470.88
Austin Rivers,LAC,67,7,1.9,$3100000.0,0.03696498054474709,$3493421.03
Luc Mbah a Moute,LAC,75,61,1.6,$1270964.0,0.031128404669260708,$2941828.23
Pablo Prigioni,LAC,59,3,1.5,$981348.0,0.02918287937743191,$2757963.97
Jeff Green,LAC,10,0.9,$9200000.0,0.017509727626459148,$1654778.38
Paul Pierce,LAC,68,38,0.9,$3400000.0,0.017509727626459148,$1654778.38
C.J. Wilcox,LAC,0,0.3,$1159680.0,0.005836575875486382,$551592.79
Jeff Ayres,LAC,0,0.2,$187750.0,0.0038910505836575885,$367728.53
Branden Dawson,LAC,0,0.0,$525093.0,0.0,$0.0
Alex Stepheson,LAC,0,0.0,$61776.0,0.0,$0.0
Lou Williams,LAL,67,35,4.7,$7000000.0,0.27011494252873564,$19510436.06
Brandon Bass,LAL,66,0,4.1,$3000000.0,0.23563218390804594,$17019742.1
Roy Hibbert,LAL,81,81,2.2,$15500000.0,0.1264367816091954,$9132544.54
Larry Nance Jr.,LAL,63,22,2.2,$1155600.0,0.1264367816091954,$9132544.54
Jordan Clarkson,LAL,79,79,2.1,$845059.0,0.12068965517241378,$8717428.88
Julius Randle,LAL,81,60,1.6,$3132240.0,0.09195402298850575,$6641850.57
Tarik Black,LAL,0,0.7,$845059.0,0.04022988505747126,$2905809.63
Robert Sacre,LAL,1,0.3,$981348.0,0.017241379310344824,$1245346.98
Ryan Kelly,LAL,0,0.1,$1724250.0,0.005747126436781609,$415115.66
Metta World Peace,LAL,5,0.1,$1499187.0,0.005747126436781609,$415115.66
Nick Young,LAL,2,0.1,$5219169.0,0.005747126436781609,$415115.66
D'Angelo Russell,LAL,80,48,0.0,$5103120.0,0.0,$0.0
Marcelo Huertas,LAL,0,-0.1,$525093.0,-0.005747126436781609,$-415115.66
Anthony Brown,LAL,11,-0.3,$700000.0,-0.017241379310344824,$-1245346.98
Kobe Bryant,LAL,66,66,-0.4,$25000000.0,-0.022988505747126436,$-1660462.64
Mike Conley,MEM,56,5.3,$9588426.0,0.16987179487179485,$14035564.13
Zach Randolph,MEM,68,53,4.3,$9638555.0,0.1378205128205128,$11387344.48
Mario Chalmers,MEM,7,3.7,$4300000.0,0.11858974358974358,$9798412.7
Marc Gasol,MEM,52,3.7,$19700000.0,0.11858974358974358,$9798412.7
Matt Barnes,MEM,76,45,2.6,$3542500.0,0.08333333333333333,$6885371.08
JaMychal Green,MEM,78,15,2.6,$845059.0,0.08333333333333333,$6885371.08
Tony Allen,MEM,64,57,2.4,$5168539.0,0.07692307692307691,$6355727.15
Vince Carter,MEM,60,3,1.8,$4088091.0,0.05769230769230769,$4766795.37
Lance Stephenson,MEM,3,1.2,$9000000.0,0.03846153846153846,$3177863.58
Chris Andersen,MEM,14,1.1,$5000000.0,0.035256410256410256,$2913041.61
